Context,,Subject,Question,A,B,Answer,Explanation
,Q24,떡볶이 플라스틱 용기,"매콤한 소스가 빨갛게 변색된 떡볶이 플라스틱 용기, 어떻게 버려야 할까요?",[플라스틱] 한번 플라스틱은 영원한 플라스틱! 깨끗이 씻어서 플라스틱으로 분리 배출할래요~,[일반 쓰레기] 색이 물들었으니 재활용할 수 없지 않을까요? 일반 쓰레기로 버릴래요!,일반 쓰레기,음식물로 변색된 플라스틱 용기는 이물질이 없고 깨끗한 상태여도 기름기가 여전히 남아있을 확률이 커서 재활용이 어려워요!
,Q25,나무 젓가락,"배달 음식과 같이 온 일회용 나무젓가락, 어떻게 버려야 할까요?",[일반 쓰레기] 괜히 일회용이겠어요? 일반 쓰레기로 버릴래요!,[종이] 나무니까 종이로 다시 재활용 할 수 있지 않을까요? 종이로 분리 배출할래요!,일반 쓰레기,"나무젓가락은 재활용 품목이 아니에요! 이쑤시개, 면봉도 마찬가지랍니다. 종량제 봉투에 담아 찢어지지 않게 조심히 일반 쓰레기로 버려주세요~"
"오후 6시 : 택배",Q31,"""띵동! 제 생일 선물들이 도착했어요!""
기쁜 마음으로 택배 박스들을 열어보았더니 어라! 여기에도 트래쉬 프렌즈가 있네요?
선물들과 함께 온 트래쉬 프렌즈의 집을 찾아볼까요?",,,,,
,Q32,종이 박스,"택배 중 가장 많이 나온 종이 박스, 어떻게 버려야 할까요?",[일반 쓰레기] 개인정보는 소중하니까.. 그것만 지우고 일반 쓰레기로 버릴래요!,"[종이] 박스 테이프, 송장 주소 스티커 모두 떼고 종이로 분리 배출할래요!",종이,"종이 박스에 붙어있는 테이프와 스티커를 모두 뗴어야 비로소 재활용이 가능해진답니다. 박스를 펴서, 접고, 모아서 부피까지 줄여준다면 더 좋겠죠?"
,Q33,비닐 아이스팩,"시원한 아이스크림과 함께 온 비닐 아이스팩, 어떻게 버려야 할까요",[일반 쓰레기] 귀찮으니까 아이스팩 그대로 종량제 봉투에 담아 일반 쓰레기로 버릴래요!,"[비닐] 부피를 줄여야죠! 팩을 뜯어서 젤은 싱크대에 버리고, 남은 비닐은 비닐로 분리 배출할래요!",일반 쓰레기,고흡수성 폴리머 젤이 들어 있어요! 뜯어서 물에 흘려보내게 되면 수질오염 문제가 발생합니다. 뜯지 말고 그대로 버려주세요. 
,Q34,과일 완충재,"사과 과일 상자에 들어있던 스티로폼 완충재, 어떻게 버려야 할까요?","[일반 쓰레기] 흠…색깔, 모양도 다 달라서 과연 재활용될까요? 일반 쓰레기로 버릴래요!",[스티로폼] 폭신한 재질이 딱 봐도 스티로폼이네요! 스티로폼으로 분리 배출할래요!,스티로폼,과일을 상하지 않게 하기 위한 완충재 모양이 특이해서 고민 많으셨죠? 깨끗한 과일 완충재는 모아서 스티로폼으로 버려 주시면 된답니다. 
,Q35,깨진 머그컵,"배송 도중에 깨져버린 예쁜 머그컵, 어떻게 버려야 할까요?",[일반 쓰레기] 깨진 조각은 위험하잖아요~ 조심히 신문지에 싸서 일반 쓰레기로 버릴래요!,[유리] 깨져도 머그컵 조각은 녹여서 재활용할 수 있지 않나요? 유리로 분리 배출할래요!,일반 쓰레기,"머그컵과 같이 도자기, 전자렌지용 그릇은 재활용 대상이 아닙니다. 깨진 유리 또한 부피가 작고 선별 작업시 위험해서 시문지에 싸서 종량제 봉투에 버려주세요 "
,Q36,에어캡,"선물을 안전하게 감싸준 에어캡 (일명 뾱뾱이), 어떻게 버려야 할까요?",[일반 쓰레기] 비닐이긴 하지만 공기가 들어 있으니까 일반 쓰레기로 버릴래요!,[비닐] 깨끗한 상태라면 재활용할 수 있을 것 같아요! 공기를 빼고 비닐로 분리 배출할래요!,비닐,"테이프, 스티커와 같은 이물질을제거하면 비닐로 재활용 할 수 있답니다! 소포장 에어캡 봉투, 단열용 에어캡도 잘 모아서 비닐로 분리배출 해주세요. "
"오후 10시 : 홈파티
",,"""가족들과 함께 하는 생일 파티!""
즐거운 파티에서도 보이는 우리의 트래쉬 프렌즈!
이번 트래쉬 프렌즈의 집은 과연 어디일까요? 함께 찾아봐요!",,,,,
,Q41,파티 비닐 풍선,"거실에 꾸며진 ‘HAPPY BIRTHDAY’ 알파벳 파티 비닐 풍선, 나중에 어떻게 버려야 할까요?
","[비닐] 매끈한 촉감, 반짝이는 광택이 딱 봐도 비닐이네요~ 공기를 잘 뺀 후 비닐로 분리 배출할래요!",[일반 쓰레기] 다양한 색을 가진 비닐이라 재활용은 좀 힘들 것 같아요! 일반 쓰레기로 버릴래요!,일반 쓰레기,파티비닐 풍선은 혼합 재질로 구성되어 재활용할 수 없어요! 풍선 속에 채워진 공기 혹은 헬륨가스를 잘 뺸 후 일반 쓰레기로 버려주세요
,Q42,실리콘 젤리 폰케이스,"새로운 폰케이스를 선물 받았어요! 사용감 있는 기존의 실리콘 폰케이스, 어떻게 버려야 할까요?",[플라스틱] 실리콘은 플라스틱의 일종이니 플라스틱으로 분리 배출할래요!,[일반 쓰레기] 말랑말랑해도 너~무 말랑하니까 일반 쓰레기로 버릴래요!,일반 쓰레기,보기에는 플라스틱같이 보이지만 대부분의 실리콘 제품들은 혼합소재로 구성되어 있어 재활용이 불가해요 
,Q43,종이 계란판,"하하… 서른을 맞이한 기념으로 받은 계란 한 판도 선물 받았네요!? 울퉁불퉁한 계란판, 어떻게 버려야 할까요?",[종이] 딱딱하긴 해도 종이는 종이잖아요? 종이로 분리 배출할래요!,[일반 쓰레기] 울퉁불퉁 모양이 이상하니까 일반 쓰레기로 버릴래요!,종이,모양은 독특해도 종이 계란판은 종이랍니다. 신문으로 만들어진 종이 계란판은 다시 종이로 재활용 될 수 있어요!
,Q44,종이빨대,"내가 제일 좋아하는 딸기 스무디를 마셨던 종이 빨대, 어떻게 버려야 할까요?",[일반 쓰레기] 플라스틱 빨대처럼 종이 빨대도 재활용은 힘들 것 같아요. 일반 쓰레기로 버릴래요!,[종이] 이름부터 ‘종이’잖아요~ 간단히 세척 후 종이로 분리 배출할래요!,일반 쓰레기,"종이 빨대가 플라스틱 빨대에 비해 잘 썩는건 맞지만, 작고 가벼워 현실적으로 재활용이 어렵답니다. "
,Q45,치즈케이크,"먹다 남은 치즈케이크, 어떻게 버려야 할까요?",[음식물 쓰레기] 케이크도 음식인걸요! 음식물 쓰레기로 분리 배출할래요!,"[일반 쓰레기] 치즈, 초콜릿, 크림... 모두 동물이 못 먹지 않을까요? 일반 쓰레기로 버릴래요!",음식물 쓰레기,"케이크는 탈수, 건조, 멸균 과정을 거쳐 사료 또는 퇴비 원료로 사용될 수 있어요! 초콜릿, 사탕 등도 모두 음식물 쓰레기로 분리배출 하면 된답니다. "
,Q51,화분,키우던 반려식물이 시들었어요. 화분은 어떻게 버려야 할까요?,[유리] 화분은 재활용이 될 것 같은데요? 유리로 배출할래요,[일반쓰레기] 음.. 잘 모르겠으니까 일반 쓰레기로 배출할래요,일반 쓰레기,화분은 분리배출이 되지 않기 때문에 일반 쓰레기로 배출해야 합니다. 단 부피가 클 경우엔 대형 폐기물 신고 후 수수료를 납부하고 배출해야 합니다. 
,Q52,도자기(사기),"이가 나간 도자기 그릇, 어떻게 버려야 할까요?","[유리] 전자레인지에 돌려도 되는 유리, 도자기 같이 배출하지 않을까요?",[일반쓰레기] 음.. 잘 모르겠으니까 일반 쓰레기로 배출할래요,일반 쓰레기,"유리 같아 보여 유리류로 재활용이 가능 할 것 같지만, 원재료가 흙이기 때문에 재활용이 되지 않습니다. "
,Q53,칫솔,다 쓴 플라스틱 칫솔 어떻게 버려야 할까요?,"[플라스틱] 칫솔모, 칫솔대 전부 플라스틱일 것 같아요.","`[일반쓰레기] 흠,, 여러가지가 섞여있고 이렇게 작은 칫솔이 분리배출이 될까요? 일반쓰레기",일반 쓰레기,칫골모 때문에 재활용이 됮 않으니 일반 쓰레기로 분류됩니다. 
,Q54,장류,"먹다 남은 고추장, 된장 어떻게 버려야 할까요?",[음식물  쓰레기] 당연히 먹을 수 있으니 음식물 쓰레기 통으로,[일반 쓰레기] 이건 좀 애매하니까 그냥 통채로 버리자,일반 쓰레기,염분이 많은 장류는 음식물 쓰레기에 포함 되지 않습니다. 일반 쓰레기로 배출하는 것이 가장 좋은 방법입니다. 
,Q55,일회용컵,"프렌차이즈 카페에 들려서 딸기스무디를 먹고 난 일회용컵, 어떻게 버려야 할까요?",[일반 쓰레기] 일회용컵 금지 시키는건 재활용이 안되기 때문이 아닐까요? 일반쓰레기로 버릴래요!,[플라스틱] 카페 로고가 작게 박힌 투명한 플라스틱이니까 깨끗하게 씻어서 플라스틱으로 버릴래요!,일반 쓰레기,"투명한 플라스틱컵을 깨끗하게 씻어서 버리면 플라스틱 재활용이 가능하지만, 로고가 조금이라도 인쇄되어 있을 경우는 일반쓰레기로 분류해야 합니다. "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1,,,,
